"id","date","temperature"
"444","2023-03-19","27.78"
"445","2023-03-20","16.11"
"446","2023-03-21","27.22"
"447","2023-03-22","26.67"
"448","2023-03-23","37.22"
"449","2023-03-24","23.33"
"450","2023-03-25","33.89"
"451","2023-03-26","17.22"
"452","2023-03-27","36.67"
"453","2023-03-28","26.67"
"454","2023-03-29","30"
"455","2023-03-30","32.22"
"456","2023-03-31","33.89"
"457","2023-04-01","35"
"458","2023-04-02","34.44"
"459","2023-04-03","28.89"
"460","2023-04-04","26.11"
"461","2023-04-05","28.89"
"462","2023-04-06","28.33"
"463","2023-04-07","17.22"
"464","2023-04-08","29.44"
"465","2023-04-09","35"
"466","2023-04-10","26.67"
"467","2023-04-11","36.11"
"468","2023-04-12","18.33"
"469","2023-04-13","33.89"
"470","2023-04-14","32.78"
"471","2023-04-15","24.44"
"472","2023-04-16","31.11"
"473","2023-04-17","21.67"
"474","2023-04-18","21.11"
"475","2023-04-19","25.56"
"476","2023-04-20","26.67"
"477","2023-04-21","17.78"
"478","2023-04-22","16.11"
"479","2023-04-23","40.44"
"480","2023-04-24","20"
"481","2023-04-25","25"
"482","2023-04-26","26.67"
"483","2023-04-27","30.56"
"484","2023-04-28","30.56"
"485","2023-04-29","29.44"
"486","2023-04-30","19.44"
"487","2023-05-01","36.67"
"488","2023-05-02","21.67"
"489","2023-05-03","27.22"
"490","2023-05-04","32.78"
"491","2023-05-05","30.78"
"492","2023-05-06","21.11"
"493","2023-05-07","21.11"
"494","2023-05-08","27.78"
"495","2023-05-09","37.22"
"496","2023-05-10","20.56"
"497","2023-05-11","21.11"
"498","2023-05-12","26.67"
"499","2023-05-13","33.89"
"500","2023-05-14","29.44"
"501","2023-05-15","30.56"
"502","2023-05-16","25"
"503","2023-05-17","17.78"
"504","2023-05-18","21.11"
"505","2023-05-19","36.11"
"506","2023-05-20","35"
"507","2023-05-21","30"
"508","2023-05-22","28.89"
"509","2023-05-23","17.78"
"510","2023-05-24","30"
"511","2023-05-25","37.22"
"512","2023-05-26","36.11"
"513","2023-05-27","31.67"
"514","2023-05-28","35"
"515","2023-05-29","19.44"
"516","2023-05-30","21.11"
"517","2023-05-31","32.78"
"518","2023-06-01","17.22"
"519","2023-06-02","16.67"
"520","2023-06-03","37.78"
"521","2023-06-04","33.89"
"522","2023-06-05","19.44"
"523","2023-06-06","23.89"
"524","2023-06-07","24.44"
"525","2023-06-08","35"
"526","2023-06-09","50.44"
"527","2023-06-10","50"
"528","2023-06-11","40.56"
"529","2023-06-12","31.11"
"530","2023-06-13","19.44"
"531","2023-06-14","31.11"
"532","2023-06-15","15.56"
"533","2023-06-16","36.67"
"534","2023-06-17","31.67"
"535","2023-06-18","20.78"
"536","2023-06-19","32.22"
"537","2023-06-20","50.89"
"538","2023-06-21","30.56"
"539","2023-06-22","21.67"
"540","2023-06-23","22.22"
"541","2023-06-24","50"
"542","2023-06-25","23.33"
"543","2023-06-26","33.89"
"544","2023-06-27","17.78"
"545","2023-06-28","40.22"
"546","2023-06-29","50.78"
"547","2023-06-30","35"
"548","2023-07-01","31.11"
"549","2023-07-02","35.56"
"550","2023-07-03","23.33"
"551","2023-07-04","50.67"
"552","2023-07-05","20.56"
"553","2023-07-06","16.11"
"554","2023-07-07","24.44"
"555","2023-07-08","50.67"
"556","2023-07-09","27.78"
"557","2023-07-10","35.56"
"558","2023-07-11","35.56"
"559","2023-07-12","32.22"
"560","2023-07-13","30.67"
"561","2023-07-14","20.11"
"562","2023-07-15","20.56"
"563","2023-07-16","36.11"
"564","2023-07-17","28.33"
"565","2023-07-18","18.33"
"566","2023-07-19","36.11"
"567","2023-07-20","20.56"
"568","2023-07-21","23.89"
"569","2023-07-22","20"
"570","2023-07-23","35"
"571","2023-07-24","32.78"
"572","2023-07-25","21.11"
"573","2023-07-26","36.67"
"574","2023-07-27","36.67"
"575","2023-07-28","37.22"
"576","2023-07-29","36.67"
"577","2023-07-30","34.44"
"578","2023-07-31","23.33"
"579","2023-08-01","40.11"
"580","2023-08-02","21.11"
"581","2023-08-03","50"
"582","2023-08-04","40.89"
"583","2023-08-05","29.44"
"584","2023-08-06","30.11"
"585","2023-08-07","20"
"586","2023-08-08","36.11"
"587","2023-08-09","17.22"
"588","2023-08-10","28.33"
"589","2023-08-11","30"
"590","2023-08-12","28.33"
"591","2023-08-13","50"
"592","2023-08-14","30.56"
"593","2023-08-15","45.11"
"594","2023-08-16","26.11"
"595","2023-08-17","22.78"
"596","2023-08-18","50"
"597","2023-08-19","37.22"
"598","2023-08-20","22.78"
"599","2023-08-21","31.11"
"600","2023-08-22","26.67"
"601","2023-08-23","23.33"
"602","2023-08-24","22.78"
"603","2023-08-25","27.78"
"604","2023-08-26","32.22"
"605","2023-08-27","33.78"
"606","2023-08-28","39.22"
"607","2023-08-29","20"
"608","2023-08-30","18.33"
"609","2023-08-31","36.67"
"610","2023-09-01","25"
"611","2023-09-02","21.67"
"612","2023-09-03","30.33"
"613","2023-09-04","32.78"
"614","2023-09-05","27.22"
"615","2023-09-06","22.78"
"616","2023-09-07","50.11"
"617","2023-09-08","18.33"
"618","2023-09-09","27.78"
"619","2023-09-10","50.33"
"620","2023-09-11","18.89"
"621","2023-09-12","30.56"
"622","2023-09-13","35.56"
"623","2023-09-14","26.11"
"624","2023-09-15","31.67"
"625","2023-09-16","30.44"
"626","2023-09-17","31.11"
"627","2023-09-18","37.78"
"628","2023-09-19","34.44"
"629","2023-09-20","22.78"
"630","2023-09-21","16.11"
"631","2023-09-22","18.89"
"632","2023-09-23","30"
"633","2023-09-24","33.33"
"634","2023-09-25","16.67"
"635","2023-09-26","35"
"636","2023-09-27","33.56"
"637","2023-09-28","25.56"
"638","2023-09-29","28.89"
"639","2023-09-30","30"
"640","2023-10-01","25.56"
"641","2023-10-02","21.67"
"642","2023-10-03","30.67"
"643","2023-10-04","25"
"644","2023-10-05","16.11"
"645","2023-10-06","32.78"
"646","2023-10-07","33.33"
"647","2023-10-08","32.22"
"648","2023-10-09","22.22"
"649","2023-10-10","20.56"
"650","2023-10-11","20"
"651","2023-10-12","23.33"
"652","2023-10-13","18.33"
"653","2023-10-14","27.78"
"654","2023-10-15","24.44"
"655","2023-10-16","22.78"
"656","2023-10-17","26.11"
"657","2023-10-18","23.89"
"658","2023-10-19","26.11"
"659","2023-10-20","21.11"
"660","2023-10-21","34.44"
"661","2023-10-22","26.11"
"662","2023-10-23","34.44"
"663","2023-10-24","33.33"
"664","2023-10-25","25"
"665","2023-10-26","50.22"
"666","2023-10-27","26.67"
"667","2023-10-28","20.56"
"668","2023-10-29","28.89"
"669","2023-10-30","24.44"
"670","2023-10-31","18.33"
"671","2023-11-01","25"
"672","2023-11-02","31.67"
"673","2023-11-03","24.44"
"674","2023-11-04","33.89"
"675","2023-11-05","35.56"
"676","2023-11-06","17.22"
"677","2023-11-07","30"
"678","2023-11-08","37.78"
"679","2023-11-09","16.11"
"680","2023-11-10","20"
"681","2023-11-11","35.56"
"682","2023-11-12","35"
"683","2023-11-13","30.56"
"684","2023-11-14","32.78"
"685","2023-11-15","33.33"
"686","2023-11-16","31.67"
"687","2023-11-17","19.44"
"688","2023-11-18","32.22"
"689","2023-11-19","20.56"
"690","2023-11-20","35.56"
"691","2023-11-21","32.22"
"692","2023-11-22","17.22"
"693","2023-11-23","17.78"
"694","2023-11-24","23.33"
"695","2023-11-25","23.89"
"696","2023-11-26","35"
"697","2023-11-27","20"
"698","2023-11-28","25"
"699","2023-11-29","27.22"
"700","2023-11-30","23.89"
"701","2023-12-01","21.67"
"702","2023-12-02","21.11"
"703","2023-12-03","25.56"
"704","2023-12-04","26.11"
"705","2023-12-05","37.22"
"706","2023-12-06","26.67"
"707","2023-12-07","27.78"
"708","2023-12-08","21.11"
"709","2023-12-09","29.44"
"710","2023-12-10","23.33"
"711","2023-12-11","34.44"
"712","2023-12-12","21.11"
"713","2023-12-13","31.11"
"714","2023-12-14","32.78"
"715","2023-12-15","31.11"
"716","2023-12-16","20"
"717","2023-12-17","35.56"
"718","2023-12-18","36.11"
"719","2023-12-19","36.11"
"720","2023-12-20","35"
"721","2023-12-21","28.33"
"722","2023-12-22","20"
"723","2023-12-23","23.33"
"724","2023-12-24","18.33"
"725","2023-12-25","28.33"
"726","2023-12-26","37.67"
"727","2023-12-27","32.78"
"728","2023-12-28","25"
"729","2023-12-29","31.67"
"730","2023-12-30","10.78"
"731","2023-12-31","50.67"
